Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood,Final_Exam_Category
S00001,0,0,0,2,0.329243354,1,0.536231884,0.040816327,0.830508475,2,0.304347826,3,0,0,Low
S00002,1,1,2,3,0.298568507,1,0.492753623,0,0.915254237,2,0.898550725,2,1,0,High
S00003,0.147058824,0,2,3,0.423312883,0.333333333,0.362318841,0.040816327,0.457627119,2,0.217391304,2,0,0,Low
S00004,0.647058824,0,2,1,0.979550102,0,0.507246377,0.87755102,0.338983051,0,0.420289855,3,0.75,0,Low
S00005,0.558823529,0,1,3,0.993865031,0.666666667,0.420289855,0.693877551,0.813559322,2,0.913043478,3,0.5,0,High
S00006,0.558823529,1,2,4,0.355828221,0,0.826086957,0.693877551,0.508474576,2,0.188405797,3,0.75,0,Low
S00007,0.882352941,1,0,0,0.90797546,0.666666667,0.565217391,0.93877551,0.728813559,1,0.101449275,1,1,0,Low
S00008,0.941176471,1,0,0,0.848670757,0.333333333,0.463768116,0.469387755,0.203389831,0,0.072463768,2,1,0,Low
S00009,0.970588235,1,2,0,0.713701431,0,0.420289855,0.204081633,0.813559322,2,0.275362319,2,0.25,0,Low
S00010,0.882352941,0,2,1,0.517382413,1,0.47826087,0.612244898,1,1,0.449275362,0,0.5,0,Low
S00011,0.411764706,1,1,1,0.484662577,0,0.724637681,0.857142857,0.762711864,0,0.231884058,3,0.5,0,Low
S00012,0.970588235,1,2,3,0.030674847,0,0.68115942,0.734693878,0.305084746,0,0.768115942,2,0.75,0,High
S00013,0.588235294,1,0,3,0.36809816,0.333333333,0.971014493,0.081632653,0.169491525,2,0.362318841,0,0.5,1,Low
S00014,0.411764706,0,2,2,0.470347648,0.333333333,0.971014493,0.632653061,1,2,0.449275362,1,0.5,0,Low
S00015,0.029411765,1,0,1,0.300613497,0,0,0.93877551,0.559322034,2,0.275362319,0,0.75,0,Low
S00016,0.852941176,1,1,3,0.617586912,1,0.333333333,0.428571429,0.847457627,0,0.695652174,1,0.75,0,Medium
S00017,0.647058824,1,0,2,0.468302658,0,0.768115942,0.897959184,0.423728814,0,0.333333333,0,0.25,0,Low
S00018,0.264705882,0,2,2,0.286298569,0.666666667,0.985507246,0.408163265,0.728813559,2,0.463768116,1,1,0,Low
S00019,0.676470588,0,2,4,0.586912065,1,0,0.857142857,0.033898305,1,0.811594203,3,0.75,0,High
S00020,0.735294118,1,0,0,0.81595092,1,0.217391304,0.163265306,0.169491525,1,0.101449275,3,0.75,0,Low
S00021,0.970588235,1,2,2,0.433537832,1,0.507246377,0.571428571,0.93220339,2,0.202898551,3,0.75,0,Low
S00022,0.382352941,1,1,0,0.175869121,0.666666667,0.304347826,0.775510204,0.728813559,0,0.565217391,0,0.5,0,Medium
S00023,0.264705882,0,1,0,0.670756646,0.333333333,0.028985507,0.306122449,0.237288136,2,0.913043478,3,0.5,0,High
S00024,0.382352941,0,0,1,0.903885481,0.333333333,0.797101449,1,0.084745763,2,0.550724638,3,0.75,0,Medium
S00025,0.735294118,1,2,4,0.582822086,0.333333333,0.782608696,0.857142857,0.93220339,2,0.086956522,0,0.25,0,Low
S00026,0.235294118,1,0,1,0.738241309,0,0.536231884,0.93877551,0.661016949,1,0.028985507,0,1,0,Low
S00027,0.441176471,1,0,3,0.611451943,1,0.347826087,0.795918367,0.322033898,2,0.869565217,3,0.25,1,High
S00028,0.323529412,1,1,0,0.969325153,0.333333333,0.420289855,0.306122449,0.830508475,1,0.826086957,3,0.75,0,High
S00029,0.441176471,0,2,0,0.116564417,1,1,0.551020408,0.830508475,1,0.289855072,2,0.5,0,Low
S00030,0.852941176,1,2,4,0.81390593,1,0.202898551,0.897959184,0.847457627,2,0.507246377,1,0.75,0,Medium
S00031,0.058823529,0,1,2,0.54396728,0.333333333,0.927536232,0.632653061,0.355932203,2,0.463768116,1,0.5,0,Low
S00032,0.794117647,0,0,0,0.130879346,0,0.855072464,0.632653061,0.779661017,0,0.362318841,1,0.5,0,Low
S00033,0.441176471,0,2,1,0.695296524,0.333333333,0.347826087,1,0.203389831,1,0.710144928,1,0.75,0,Medium
S00034,0.294117647,1,1,1,0.63599182,1,0.217391304,0.571428571,0.101694915,0,0.449275362,3,1,0,Low
S00035,0.058823529,2,2,4,0.149284254,1,0.231884058,0.224489796,0.06779661,0,0.84057971,0,0.25,0,High
S00036,0.176470588,1,0,3,0.137014315,0.333333333,0.072463768,0.591836735,0.406779661,0,0.536231884,2,1,1,Medium
S00037,0.029411765,0,0,3,0.869120654,0.333333333,0.231884058,0.142857143,0.457627119,1,0.942028986,0,0.5,1,High
S00038,0.647058824,0,0,3,0.507157464,0,0.072463768,0.306122449,0.847457627,0,0.014492754,1,0,1,Low
S00039,0.911764706,0,2,4,0.443762781,0.666666667,0.31884058,0.06122449,0.813559322,2,0.31884058,3,0.25,0,Low
